;Fix számok;kombinációs számok;7;6;5;4
008;0;7;1;7;0;0
008;0;6;0;0;6;0
008;0;5;0;0;3;5
008;0;4;0;0;0;4
009;0;7;1;14;21;0
009;0;6;0;3;18;15
009;0;5;0;0;6;20
009;0;4;0;0;0;10
010;0;7;1;21;63;35
010;0;6;0;4;36;60
010;0;5;0;0;10;50
010;0;4;0;0;0;20
011;0;7;1;28;126;140
011;0;6;0;5;60;150
011;0;5;0;0;15;100
011;0;4;0;0;0;35
107;1;6;1;6;0;0
107;1;5;0;2;5;0
107;1;4;0;0;3;4
107;1;3;0;0;0;4
107;0;7;0;7;0;0
107;0;6;0;1;6;0
107;0;5;0;0;2;5
107;0;4;0;0;0;3
108;1;6;1;12;15;0
108;1;5;0;3;15;10
108;1;4;0;0;6;16
108;1;3;0;0;0;10
108;0;7;0;7;21;0
108;0;6;0;1;12;15
108;0;5;0;0;3;16
108;0;4;0;0;0;6
109;1;6;1;18;45;20
109;1;5;0;4;30;40
109;1;4;0;0;10;40
109;1;3;0;0;0;20
109;0;7;0;7;42;35
109;0;6;0;1;18;45
109;0;5;0;0;4;30
109;0;4;0;0;0;10
110;1;6;1;24;90;80
110;1;5;0;5;50;100
110;1;4;0;0;15;80
110;1;3;0;0;0;35
110;0;7;0;7;63;105
110;0;6;0;1;24;90
110;0;5;0;0;5;50
110;0;4;0;0;0;15
206;2;5;1;5;0;0
206;2;4;0;2;4;0
206;2;3;0;0;3;3
206;2;2;0;0;0;4
206;1;6;0;6;0;0
206;1;5;0;1;5;0
206;1;4;0;0;2;4
206;1;3;0;0;0;3
206;0;6;0;0;6;0
206;0;5;0;0;1;5
206;0;4;0;0;0;2
207;2;5;1;10;10;0
207;2;4;0;3;12;6
207;2;3;0;0;6;12
207;2;2;0;0;0;10
207;1;6;0;6;15;0
207;1;5;0;1;10;10
207;1;4;0;0;3;12
207;1;3;0;0;0;6
207;0;7;0;0;21;0
207;0;6;0;0;6;15
207;0;5;0;0;1;10
207;0;4;0;0;0;3
208;2;5;1;15;30;10
208;2;4;0;4;24;24
208;2;3;0;0;10;30
208;2;2;0;0;0;20
208;1;6;0;6;30;20
208;1;5;0;0;15;30
208;1;4;0;0;4;24
208;1;3;0;0;0;10
208;0;7;0;0;21;35
208;0;6;0;0;6;30
208;0;5;0;0;1;15
208;0;4;0;0;0;4
209;2;5;1;20;60;40
209;2;4;0;5;40;60
209;2;3;0;0;15;60
209;2;2;0;0;0;35
209;1;6;0;6;45;60
209;1;5;0;1;20;60
209;1;4;0;0;5;40
209;1;3;0;0;0;15
209;0;7;0;0;21;70
209;0;6;0;0;6;45
209;0;5;0;0;1;20
209;0;4;0;0;0;5
210;2;5;1;25;100;100
210;2;4;0;6;60;120
210;2;3;0;0;21;105
210;2;2;0;0;0;56
210;1;6;0;6;60;120
210;1;5;0;1;25;100
210;1;4;0;0;6;60
210;1;3;0;0;0;21
210;0;7;0;0;21;105
210;0;6;0;0;6;60
210;0;5;0;0;1;25
210;0;4;0;0;0;6
305;3;4;1;4;0;0
305;3;3;0;2;3;0
305;3;2;0;0;3;2
305;3;1;0;0;0;4
305;2;5;0;5;0;0
305;2;4;0;1;4;0
305;2;3;0;0;2;3
305;2;2;0;0;0;3
305;1;5;0;0;5;0
305;1;4;0;0;1;4
305;1;3;0;0;0;2
305;0;5;0;0;0;5
305;0;4;0;0;0;1
306;3;4;1;8;6;0
306;3;3;0;3;9;0
306;3;2;0;0;6;8
306;3;1;0;0;0;10
306;2;5;0;5;10;0
306;2;4;0;1;8;6
306;2;3;0;0;3;9
306;2;2;0;0;0;6
306;1;6;0;0;15;0
306;1;5;0;0;5;10
306;1;4;0;0;1;8
306;1;3;0;0;0;3
306;0;6;0;0;0;15
306;0;5;0;0;0;5
306;0;4;0;0;0;1
307;3;4;1;12;18;4
307;3;3;0;4;18;12
307;3;2;0;0;10;20
307;3;1;0;0;0;20
307;2;5;0;5;20;10
307;2;4;0;1;12;18
307;2;3;0;0;4;18
307;2;2;0;0;0;10
307;1;6;0;0;15;20
307;1;5;0;0;5;20
307;1;4;0;0;1;12
307;1;3;0;0;0;4
307;0;7;0;0;0;35
307;0;6;0;0;0;15
307;0;5;0;0;0;5
307;0;4;0;0;0;1
308;3;4;1;16;36;16
308;3;3;0;5;30;30
308;3;2;0;0;15;40
308;3;1;0;0;0;35
308;2;5;0;5;30;30
308;2;4;0;1;16;36
308;2;3;0;0;5;30
308;2;2;0;0;0;15
308;1;6;0;0;15;40
308;1;5;0;0;5;30
308;1;4;0;0;1;16
308;1;3;0;0;0;5
308;0;7;0;0;0;35
308;0;6;0;0;0;15
308;0;5;0;0;0;5
308;0;4;0;0;0;1
309;3;4;1;20;60;40
309;3;3;0;6;45;60
309;3;2;0;0;21;70
309;3;1;0;0;0;56
309;2;5;0;5;40;60
309;2;4;0;1;20;60
309;2;3;0;0;6;45
309;2;2;0;0;0;21
309;1;6;0;0;15;60
309;1;5;0;0;5;40
309;1;4;0;0;1;20
309;1;3;0;0;0;6
309;0;7;0;0;0;35
309;0;6;0;0;0;15
309;0;5;0;0;0;5
309;0;4;0;0;0;1
310;3;4;1;24;90;80
310;3;3;0;7;63;105
310;3;2;0;0;28;112
310;3;1;0;0;0;84
310;2;5;0;5;50;100
310;2;4;0;1;24;90
310;2;3;0;0;7;63
310;2;2;0;0;0;28
310;1;6;0;0;15;80
310;1;5;0;0;5;50
310;1;4;0;0;1;24
310;1;3;0;0;0;7
310;0;7;0;0;0;35
310;0;6;0;0;0;15
310;0;5;0;0;0;5
310;0;4;0;0;0;1
311;3;4;1;28;126;140
311;3;3;0;8;82;168
311;3;2;0;0;36;168
311;3;1;0;0;0;120
311;2;5;0;5;60;150
311;2;4;0;1;28;126
311;2;3;0;0;8;84
311;2;2;0;0;0;36
311;1;6;0;0;15;100
311;1;5;0;0;5;60
311;1;4;0;0;1;28
311;1;3;0;0;0;8
311;0;7;0;0;0;35
311;0;6;0;0;0;15
311;0;5;0;0;0;5
311;0;4;0;0;0;1
404;4;3;1;3;0;0
404;4;2;0;2;2;0
404;4;1;0;0;3;1
404;4;0;0;0;0;4
404;3;4;0;4;0;0
404;3;3;0;1;3;0
404;3;2;0;0;2;2
404;3;1;0;0;0;3
404;2;4;0;0;4;0
404;2;3;0;0;1;3
404;2;2;0;0;0;2
404;1;4;0;0;0;4
404;1;3;0;0;0;1
404;0;4;0;0;0;0
405;4;3;1;6;3;0
405;4;2;0;3;6;1
405;4;1;0;0;6;4
405;4;0;0;0;0;10
405;3;4;0;4;6;0
405;3;3;0;1;6;3
405;3;2;0;0;3;6
405;3;1;0;0;0;6
405;2;5;0;0;10;0
405;2;4;0;0;4;6
405;2;3;0;0;1;6
405;2;2;0;0;0;3
405;1;6;0;0;0;0
405;1;5;0;0;0;10
405;1;4;0;0;0;4
405;1;3;0;0;0;1
406;4;3;1;9;9;1
406;4;2;0;4;12;4
406;4;1;0;0;10;10
406;4;0;0;0;0;20
406;3;4;0;4;12;4
406;3;3;0;1;9;9
406;3;2;0;0;4;12
406;3;1;0;0;0;10
406;2;5;0;0;10;10
406;2;4;0;0;4;12
406;2;3;0;0;1;9
406;2;2;0;0;0;4
406;1;6;0;0;0;20
406;1;5;0;0;0;10
406;1;4;0;0;0;4
406;1;3;0;0;0;0
407;4;3;1;12;18;4
407;4;2;0;5;20;10
407;4;1;0;0;15;20
407;4;0;0;0;0;35
407;3;4;0;4;18;12
407;3;3;0;1;12;18
407;3;2;0;0;5;20
407;3;1;0;0;0;15
407;2;5;0;0;10;20
407;2;4;0;0;4;18
407;2;3;0;0;1;12
407;2;2;0;0;0;5
407;1;6;0;0;0;20
407;1;5;0;0;0;10
407;1;4;0;0;0;4
407;1;3;0;0;0;1
408;4;3;1;15;30;10
408;4;2;0;6;30;20
408;4;1;0;0;21;35
408;4;0;0;0;0;56
408;3;4;0;4;24;24
408;3;3;0;1;15;30
408;3;2;0;0;6;30
408;3;1;0;0;0;21
408;2;5;0;0;10;30
408;2;4;0;0;4;24
408;2;3;0;0;1;15
408;2;2;0;0;0;6
408;1;6;0;0;0;20
408;1;5;0;0;0;10
408;1;4;0;0;0;4
408;1;3;0;0;0;1
409;4;3;1;18;45;20
409;4;2;0;7;42;35
409;4;1;0;0;28;56
409;4;0;0;0;0;84
409;3;4;0;4;30;40
409;3;3;0;1;18;45
409;3;2;0;0;7;42
409;3;1;0;0;0;28
409;2;5;0;0;10;40
409;2;4;0;0;4;30
409;2;3;0;0;1;18
409;2;2;0;0;0;7
409;1;6;0;0;0;20
409;1;5;0;0;0;10
409;1;4;0;0;0;4
409;1;3;0;0;0;1
410;4;3;1;21;63;35
410;4;2;0;8;56;56
410;4;1;0;0;36;84
410;4;0;0;0;0;120
410;3;4;0;4;36;60
410;3;3;0;1;21;63
410;3;2;0;0;8;56
410;3;1;0;0;0;36
410;2;5;0;0;10;50
410;2;4;0;0;4;36
410;2;3;0;0;1;21
410;2;2;0;0;0;8
410;1;6;0;0;0;20
410;1;5;0;0;0;10
410;1;4;0;0;0;4
410;1;3;0;0;0;1
411;4;3;1;24;84;56
411;4;2;0;9;72;84
411;4;1;0;0;45;120
411;4;0;0;0;0;165
411;3;4;0;4;42;84
411;3;3;0;1;24;84
411;3;2;0;0;9;72
411;3;1;0;0;0;45
411;2;5;0;0;10;60
411;2;4;0;0;4;42
411;2;3;0;0;1;24
411;2;2;0;0;0;9
411;1;6;0;0;0;20
411;1;5;0;0;0;10
411;1;4;0;0;0;4
411;1;3;0;0;0;1
412;4;3;1;27;108;84
412;4;2;0;10;90;120
412;4;1;0;0;55;165
412;4;0;0;0;0;220
412;3;4;0;4;48;112
412;3;3;0;1;27;108
412;3;2;0;0;10;90
412;3;1;0;0;0;55
412;2;5;0;0;10;70
412;2;4;0;0;4;48
412;2;3;0;0;1;27
412;2;2;0;0;0;10
412;1;6;0;0;0;20
412;1;5;0;0;0;10
412;1;4;0;0;0;4
412;1;3;0;0;0;1
413;4;3;1;30;135;120
413;4;2;0;11;110;165
413;4;1;0;0;66;220
413;4;0;0;0;0;286
413;3;4;0;4;54;144
413;3;3;0;1;30;135
413;3;2;0;0;11;110
413;3;1;0;0;0;66
413;2;5;0;0;10;80
413;2;4;0;0;4;54
413;2;3;0;0;1;30
413;2;2;0;0;0;11
413;1;6;0;0;0;20
413;1;5;0;0;0;10
413;1;4;0;0;0;4
413;1;3;0;0;0;1
414;4;3;1;33;165;165
414;4;2;0;12;132;220
414;4;1;0;0;78;286
414;4;0;0;0;0;364
414;3;4;0;4;60;180
414;3;3;0;1;33;165
414;3;2;0;0;12;132
414;3;1;0;0;0;78
414;2;5;0;0;10;90
414;2;4;0;0;4;60
414;2;3;0;0;1;33
414;2;2;0;0;0;12
414;1;6;0;0;0;20
414;1;5;0;0;0;10
414;1;4;0;0;0;4
414;1;3;0;0;0;1
503;5;2;1;2;0;0
503;5;1;0;2;1;0
503;5;0;0;0;3;0
503;4;3;0;3;0;0
503;4;2;0;1;2;0
503;4;1;0;0;2;1
503;4;0;0;0;0;3
503;3;3;0;0;3;0
503;3;2;0;0;1;2
503;3;1;0;0;0;2
503;2;3;0;0;0;3
503;2;2;0;0;0;1
504;5;2;1;4;1;0
504;5;1;0;3;3;0
504;5;0;0;0;6;0
504;4;3;0;3;3;0
504;4;2;0;1;4;1
504;4;1;0;0;3;3
504;4;0;0;0;0;6
504;3;4;0;0;6;0
504;3;3;0;0;3;3
504;3;2;0;0;1;4
504;3;1;0;0;0;3
504;2;4;0;0;0;6
504;2;3;0;0;0;3
504;2;2;0;0;0;1
505;5;2;1;6;3;0
505;5;1;0;4;6;0
505;5;0;0;0;10;0
505;4;3;0;3;6;1
505;4;2;0;1;6;3
505;4;1;0;0;4;6
505;4;0;0;0;0;10
505;3;4;0;0;6;4
505;3;3;0;0;3;6
505;3;2;0;0;1;6
505;3;1;0;0;0;4
505;2;5;0;0;0;10
505;2;4;0;0;0;6
505;2;3;0;0;0;3
505;2;2;0;0;0;1
506;5;2;1;8;6;0
506;5;1;0;5;10;0
506;5;0;0;0;15;0
506;4;3;0;3;9;3
506;4;2;0;1;8;6
506;4;1;0;0;5;10
506;4;0;0;0;0;15
506;3;4;0;0;6;8
506;3;3;0;0;3;9
506;3;2;0;0;1;8
506;3;1;0;0;0;5
506;2;5;0;0;0;10
506;2;4;0;0;0;6
506;2;3;0;0;0;3
506;2;2;0;0;0;1
507;5;2;1;10;10;0
507;5;1;0;6;15;0
507;5;0;0;0;21;0
507;4;3;0;3;12;6
507;4;2;0;1;10;10
507;4;1;0;0;6;15
507;4;0;0;0;0;21
507;3;4;0;0;6;12
507;3;3;0;0;3;12
507;3;2;0;0;1;10
507;3;1;0;0;0;6
507;2;5;0;0;0;10
507;2;4;0;0;0;6
507;2;3;0;0;0;3
507;2;2;0;0;0;1
508;5;2;1;12;15;0
508;5;1;0;7;21;0
508;5;0;0;0;2;0
508;4;3;0;3;15;10
508;4;2;0;1;12;15
508;4;1;0;0;7;21
508;4;0;0;0;0;28
508;3;4;0;0;6;16
508;3;3;0;0;3;15
508;3;2;0;0;1;12
508;3;1;0;0;0;7
508;2;5;0;0;0;10
508;2;4;0;0;0;6
508;2;3;0;0;0;3
508;2;2;0;0;0;1
509;5;2;1;14;21;0
509;5;1;0;8;28;0
509;5;0;0;0;36;0
509;4;3;0;3;18;15
509;4;2;0;1;14;21
509;4;1;0;0;8;28
509;4;0;0;0;0;36
509;3;4;0;0;6;20
509;3;3;0;0;3;18
509;3;2;0;0;1;14
509;3;1;0;0;0;8
509;2;5;0;0;0;10
509;2;4;0;0;0;6
509;2;3;0;0;0;3
509;2;2;0;0;0;1
510;5;2;1;16;28;0
510;5;1;0;9;36;0
510;5;0;0;0;45;0
510;4;3;0;3;21;21
510;4;2;0;1;16;28
510;4;1;0;0;9;36
510;4;0;0;0;0;45
510;3;4;0;0;6;24
510;3;3;0;0;3;21
510;3;2;0;0;1;16
510;3;1;0;0;0;9
510;2;5;0;0;0;10
510;2;4;0;0;0;6
510;2;3;0;0;0;3
510;2;2;0;0;0;1
511;5;2;1;18;36;0
511;5;1;0;10;45;0
511;5;0;0;0;55;0
511;4;3;0;3;24;28
511;4;2;0;1;18;36
511;4;1;0;0;10;45
511;4;0;0;0;0;55
511;3;4;0;0;6;28
511;3;3;0;0;3;24
511;3;2;0;0;1;18
511;3;1;0;0;0;10
511;2;5;0;0;0;10
511;2;4;0;0;0;6
511;2;3;0;0;0;3
511;2;2;0;0;0;1
512;5;2;1;20;45;0
512;5;1;0;11;55;0
512;5;0;0;0;66;0
512;4;3;0;3;27;36
512;4;2;0;1;20;45
512;4;1;0;0;11;55
512;4;0;0;0;0;66
512;3;4;0;0;6;32
512;3;3;0;0;3;27
512;3;2;0;0;1;20
512;3;1;0;0;0;11
512;2;5;0;0;0;10
512;2;4;0;0;0;6
512;2;3;0;0;0;3
512;2;2;0;0;0;1
513;5;2;1;22;55;0
513;5;1;0;12;66;0
513;5;0;0;0;78;0
513;4;3;0;3;30;45
513;4;2;0;1;22;55
513;4;1;0;0;12;66
513;4;0;0;0;0;78
513;3;4;0;0;6;36
513;3;3;0;0;3;30
513;3;2;0;0;1;22
513;3;1;0;0;0;12
513;2;5;0;0;0;10
513;2;4;0;0;0;6
513;2;3;0;0;0;3
513;2;2;0;0;0;1
514;5;2;1;24;66;0
514;5;1;0;13;78;0
514;5;0;0;0;91;0
514;4;3;0;3;33;55
514;4;2;0;1;24;66
514;4;1;0;0;13;78
514;4;0;0;0;0;91
514;3;4;0;0;6;40
514;3;3;0;0;3;33
514;3;2;0;0;1;24
514;3;1;0;0;0;13
514;2;5;0;0;0;10
514;2;4;0;0;0;6
514;2;3;0;0;0;3
514;2;2;0;0;0;1
515;5;2;1;26;78;0
515;5;1;0;14;91;0
515;5;0;0;0;106;0
515;4;3;0;3;36;66
515;4;2;0;1;26;78
515;4;1;0;0;14;91
515;4;0;0;0;0;105
515;3;4;0;0;6;44
515;3;3;0;0;3;36
515;3;2;0;0;1;26
515;3;1;0;0;0;14
515;2;5;0;0;0;10
515;2;4;0;0;0;6
515;2;3;0;0;0;3
515;2;2;0;0;0;1
516;5;2;1;28;91;0
516;5;1;0;15;105;0
516;5;0;0;0;120;0
516;4;3;0;3;39;78
516;4;2;0;1;28;91
516;4;1;0;0;15;105
516;4;0;0;0;0;120
516;3;4;0;0;6;48
516;3;3;0;0;3;39
516;3;2;0;0;1;28
516;3;1;0;0;0;15
516;2;5;0;0;0;10
516;2;4;0;0;0;6
516;2;3;0;0;0;3
516;2;2;0;0;0;1
517;5;2;1;30;105;0
517;5;1;0;16;120;0
517;5;0;0;0;136;0
517;4;3;0;3;42;91
517;4;2;0;1;30;105
517;4;1;0;0;16;120
517;4;0;0;0;0;136
517;3;4;0;0;6;52
517;3;3;0;0;3;42
517;3;2;0;0;1;30
517;3;1;0;0;0;16
517;2;5;0;0;0;10
517;2;4;0;0;0;6
517;2;3;0;0;0;3
517;2;2;0;0;0;1
518;5;2;1;32;120;0
518;5;1;0;17;136;0
518;5;0;0;0;153;0
518;4;3;0;3;45;105
518;4;2;0;1;32;120
518;4;1;0;0;17;136
518;4;0;0;0;0;153
518;3;4;0;0;6;56
518;3;3;0;0;3;45
518;3;2;0;0;1;32
518;3;1;0;0;0;17
518;2;5;0;0;0;10
518;2;4;0;0;0;6
518;2;3;0;0;0;3
518;2;2;0;0;0;1
519;5;2;1;34;136;0
519;5;1;0;18;153;0
519;5;0;0;0;171;0
519;4;3;0;3;48;120
519;4;2;0;1;34;136
519;4;1;0;0;18;153
519;4;0;0;0;0;171
519;3;4;0;0;6;60
519;3;3;0;0;3;48
519;3;2;0;0;1;34
519;3;1;0;0;0;18
519;2;5;0;0;0;10
519;2;4;0;0;0;6
519;2;3;0;0;0;3
519;2;2;0;0;0;1
520;5;2;1;36;153;0
520;5;1;0;19;171;0
520;5;0;0;0;190;0
520;4;3;0;3;51;136
520;4;2;0;1;36;153
520;4;1;0;0;19;171
520;4;0;0;0;0;190
520;3;4;0;0;6;64
520;3;3;0;0;3;51
520;3;2;0;0;1;36
520;3;1;0;0;0;19
520;2;5;0;0;0;10
520;2;4;0;0;0;6
520;2;3;0;0;0;3
520;2;2;0;0;0;1
530;5;2;1;56;378;0
530;4;3;0;3;81;351
530;3;4;0;0;6;104
530;2;5;0;0;0;10
608;6;1;1;7;0;0
608;6;0;0;8;0;0
608;5;2;0;2;6;0
608;5;1;0;1;7;0
608;5;0;0;0;8;0
608;4;3;0;0;3;5
608;4;2;0;0;2;6
608;4;1;0;0;1;7
608;4;0;0;0;0;8
608;3;4;0;0;0;4
608;3;3;0;0;0;3
608;3;2;0;0;0;2
608;3;1;0;0;0;1
609;6;1;1;8;0;0
609;6;0;0;9;0;0
609;5;2;0;2;7;0
609;5;1;0;1;8;0
609;5;0;0;0;9;0
609;4;3;0;0;3;6
609;4;2;0;0;2;7
609;4;1;0;0;1;8
609;4;0;0;0;0;9
609;3;4;0;0;0;4
609;3;3;0;0;0;3
609;3;2;0;0;0;2
609;3;1;0;0;0;1
610;6;1;1;9;0;0
610;6;0;0;10;0;0
610;5;2;0;2;8;0
610;5;1;0;1;9;0
610;5;0;0;0;10;0
610;4;3;0;0;3;2
610;4;2;0;0;2;8
610;4;1;0;0;1;9
610;4;0;0;0;0;10
610;3;4;0;0;0;4
610;3;3;0;0;0;3
610;3;2;0;0;0;2
610;3;1;0;0;0;1
611;6;1;1;10;0;0
611;6;0;0;11;0;0
611;5;2;0;2;9;0
611;5;1;0;1;10;0
611;5;0;0;0;11;0
611;4;3;0;0;3;8
611;4;2;0;0;2;9
611;4;1;0;0;1;10
611;4;0;0;0;0;11
611;3;4;0;0;0;4
611;3;3;0;0;0;3
611;3;2;0;0;0;2
611;3;1;0;0;0;1
612;6;1;1;11;0;0
612;6;0;0;12;0;0
612;5;2;0;2;10;0
612;5;1;0;1;11;0
612;5;0;0;0;12;0
612;4;3;0;0;3;9
612;4;2;0;0;2;10
612;4;1;0;0;1;11
612;4;0;0;0;0;12
612;3;4;0;0;0;4
612;3;3;0;0;0;3
612;3;2;0;0;0;2
612;3;1;0;0;0;1
613;6;1;1;12;0;0
613;6;0;0;13;0;0
613;5;2;0;2;11;0
613;5;1;0;1;12;0
613;5;0;0;0;13;0
613;4;3;0;0;3;10
613;4;2;0;0;2;11
613;4;1;0;0;1;12
613;4;0;0;0;0;13
613;3;4;0;0;0;4
613;3;3;0;0;0;3
613;3;2;0;0;0;2
613;3;1;0;0;0;1
614;6;1;1;13;0;0
614;6;0;0;14;0;0
614;5;2;0;2;14;0
614;5;1;0;1;13;0
614;5;0;0;0;14;0
614;4;3;0;0;3;11
614;4;2;0;0;2;12
614;4;1;0;0;1;13
614;4;0;0;0;0;14
614;3;4;0;0;0;4
614;3;3;0;0;0;3
614;3;2;0;0;0;2
614;3;1;0;0;0;1
615;6;1;1;14;0;0
615;6;0;0;15;0;0
615;5;2;0;2;13;0
615;5;1;0;1;14;0
615;5;0;0;0;15;0
615;4;3;0;0;3;12
615;4;2;0;0;2;13
615;4;1;0;0;1;14
615;4;0;0;0;0;15
615;3;4;0;0;0;4
615;3;3;0;0;0;3
615;3;2;0;0;0;2
615;3;1;0;0;0;1
620;6;1;1;19;0;0
620;6;0;0;20;0;0
620;5;2;0;2;18;0
620;5;1;0;1;19;0
620;5;0;0;0;20;0
620;4;3;0;0;3;17
620;4;2;0;0;2;18
620;4;1;0;0;1;19
620;4;0;0;0;0;20
620;3;4;0;0;0;4
620;3;3;0;0;0;3
620;3;2;0;0;0;2
620;3;1;0;0;0;1
629;6;1;1;28;0;0
629;5;2;0;2;27;0
629;4;3;0;0;3;26
629;3;4;0;0;0;4
